subset_id,model,model_type,n_cases,rmse_m,mae_m,rmse_ratio_pct,mae_ratio_pct,bias_m,pearson_r,spearman_rho,hit_rate_30pct,tail_coverage_low,tail_coverage_high,tail_coverage_overall,dynamic_range_p90_p10,range_coverage_fraction,dynamic_range_pass,attractor_pass,attractor_max_fraction,attractor_message
BM-A_full,baseline_constant,baseline,67,91.43101028488547,61.89813346896859,94.65214541190906,74.76275458378954,1.6331877807023198e-14,-1.693459201867127e-16,,0.2537313432835821,0.0,0.3888888888888889,0.16279069767441862,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [37, 518] m. Attractor behaviour detected."
BM-A_full,baseline_depth_scaled,baseline,67,83.81572676080135,52.81722355471802,84.29192031549645,59.77153159126903,2.269494708248678e-14,0.3995530867978657,0.5231481498147476,0.4626865671641791,0.32,0.5,0.3953488372093023,2.784111781126071,0.3331893341000358,False,False,0.8208955223880597,"FAIL: 82.09% of predictions in a band spanning 20% of observed range [37, 518] m. Attractor behaviour detected."
BM-A_full,baseline_linear_wind,baseline,67,84.25213238220148,54.95108472126772,87.46592116268867,63.60448566418119,5.387398653225834e-14,0.38841841407178357,0.46525179633865804,0.3283582089552239,0.16,0.4444444444444444,0.27906976744186046,2.5495486471904045,0.3273215295233297,False,False,0.8507462686567164,"FAIL: 85.07% of predictions in a band spanning 20% of observed range [37, 518] m. Attractor behaviour detected."
BM-A_full,cl,candidate,67,150.94346262596292,121.0160632974512,223.55782114507622,152.91134968888736,-10.325260378000614,-0.3268630932322225,-0.5220410714258581,0.13432835820895522,0.16,0.05555555555555555,0.11627906976744186,24.544456722066077,0.7881799104363897,True,True,0.29850746268656714,OK: max fraction in any 20% band = 29.85%
BM-A_full,scaling,candidate,67,128.81970310677562,96.61899505318782,115.99475920800025,97.03785276011821,-50.01205477350452,-0.32246052943243375,-0.5217512788013575,0.08955223880597014,0.16,0.05555555555555555,0.11627906976744186,22.997134581548956,0.366639035965717,False,True,0.3880597014925373,OK: max fraction in any 20% band = 38.81%
BM-B_cross_method,baseline_constant,baseline,6,71.17307475166263,68.47087856121892,139.01148045703744,127.43948985937905,33.893409172661705,,,0.0,0.0,0.0,0.0,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 212] m. Attractor behaviour detected."
BM-B_cross_method,baseline_depth_scaled,baseline,6,73.23825570124484,72.50581769087367,157.64433993159918,143.60547637300175,47.49305607632051,0.7465174072079136,0.6957252427829382,0.0,0.0,0.0,0.0,1.1978040616800165,0.1585302471262703,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 212] m. Attractor behaviour detected."
BM-B_cross_method,baseline_linear_wind,baseline,6,71.9000041107099,70.61084923376868,151.58907205437032,137.84226403624783,43.254277513620174,0.5990928121099094,0.753702346348183,0.0,0.0,0.0,0.0,1.1704005703794953,0.17606962367258322,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 212] m. Attractor behaviour detected."
BM-B_cross_method,cl,candidate,6,96.79637181524917,67.32838494155658,152.603702054933,97.44412481719748,-9.667777279515805,-0.3039882944695647,-0.46381682852195877,0.3333333333333333,0.5,0.0,0.4,3.9845052637534817,0.896383649233042,True,True,0.16666666666666666,OK: max fraction in any 20% band = 16.67%
BM-B_cross_method,scaling,candidate,6,86.48397668202892,58.22849049628521,90.95958474873176,71.33070987251445,-32.80688638837544,-0.3002951451215802,-0.46381682852195877,0.16666666666666666,0.25,0.0,0.2,3.642467825655285,0.5454579137484538,False,True,0.16666666666666666,OK: max fraction in any 20% band = 16.67%
BM-C_narrow_spacing,baseline_constant,baseline,30,59.8866696468434,58.95055854399504,135.02818166095975,128.13391522991355,58.95055854399504,,,0.0,0.0,,0.0,1.0,0.0,False,True,0.0,OK: max fraction in any 20% band = 0.00%
BM-C_narrow_spacing,baseline_depth_scaled,baseline,30,54.46391614887577,43.86838830454417,117.47268182241086,92.74409123669938,39.614524681970224,0.24288642101315613,0.17310045718416514,0.3333333333333333,0.32,,0.32,3.002886749057176,4.245237346321129,True,True,0.13333333333333333,OK: max fraction in any 20% band = 13.33%
BM-C_narrow_spacing,baseline_linear_wind,baseline,30,56.642180615530506,47.08154781912739,121.90495827165807,99.64501286351859,42.61189448588951,0.24011618542188498,0.2024922168511737,0.16666666666666666,0.16,,0.16,2.8127199470519075,4.170474379501585,True,True,0.13333333333333333,OK: max fraction in any 20% band = 13.33%
BM-C_narrow_spacing,cl,candidate,30,142.4465663415163,112.49237319481212,319.98211021759715,242.09743664222998,99.89267485662022,-0.15461194590916133,-0.15177479425805865,0.16666666666666666,0.16,,0.16,9.018536979023763,10.042370655238344,True,True,0.06666666666666667,OK: max fraction in any 20% band = 6.67%
BM-C_narrow_spacing,scaling,candidate,30,66.76671734281743,56.70305855440832,148.82679367597143,121.0324203459797,36.931908774561514,-0.1355882642878427,-0.1486260994846045,0.16666666666666666,0.16,,0.16,8.614012775601203,4.6714272301211395,True,True,0.1,OK: max fraction in any 20% band = 10.00%
BM-D_wide_spacing,baseline_constant,baseline,12,190.8298192399877,154.80405454900497,54.73442200645319,52.287003304012956,-154.80405454900497,,,0.08333333333333333,,0.08333333333333333,0.08333333333333333,1.0,0.0,False,True,0.0,OK: max fraction in any 20% band = 0.00%
BM-D_wide_spacing,baseline_depth_scaled,baseline,12,171.097279935,125.29230896003162,45.19686723707611,39.134333865249715,-125.29230896003162,-0.13322818949956894,-0.027972027972027972,0.4166666666666667,,0.4166666666666667,0.4166666666666667,1.4101945209775921,0.20700392314665217,False,True,0.3333333333333333,OK: max fraction in any 20% band = 33.33%
BM-D_wide_spacing,baseline_linear_wind,baseline,12,169.61985391218178,127.07102884918386,45.42009737636952,40.487504658665756,-127.07102884918386,0.04946548577952386,0.17482517482517487,0.3333333333333333,,0.3333333333333333,0.3333333333333333,1.3927692656410842,0.17002306943993625,False,True,0.4166666666666667,OK: max fraction in any 20% band = 41.67%
BM-D_wide_spacing,cl,candidate,12,245.88793423566196,227.9316512397983,87.79134707025324,87.40735330691795,-227.9316512397983,0.6430046328030623,0.23076923076923078,0.0,,0.0,0.0,17.499113979669346,0.37932484795981486,False,True,0.0,OK: max fraction in any 20% band = 0.00%
BM-D_wide_spacing,scaling,candidate,12,259.71053193622623,240.21059394839656,91.8176906395447,91.6641468007439,-240.21059394839656,0.6284949801950792,0.23076923076923078,0.0,,0.0,0.0,15.892765710007989,0.23672951478257614,False,True,0.0,OK: max fraction in any 20% band = 0.00%
BM-E_neagh,baseline_constant,baseline,26,56.8120870999068,53.68963414443169,116.77071465181652,103.47577848732861,43.24715024971299,,,0.07692307692307693,0.0,0.5,0.05263157894736842,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [37, 207] m. Attractor behaviour detected."
BM-E_neagh,baseline_depth_scaled,baseline,26,42.694280345523985,33.24489497127138,70.56072732849078,54.84999423622736,14.411087349367424,0.3004698207541533,0.5354761575953185,0.46153846153846156,0.4117647058823529,0.5,0.42105263157894735,2.600348273043814,0.73388110248166,True,True,0.4230769230769231,OK: max fraction in any 20% band = 42.31%
BM-E_neagh,baseline_linear_wind,baseline,26,48.266675137158785,39.07112688899301,85.4325700890608,67.27027988218671,23.367940886822602,0.30046982075415335,0.5354761575953185,0.23076923076923078,0.23529411764705882,0.5,0.2631578947368421,2.6413834131832408,0.8280911446686955,True,True,0.4230769230769231,OK: max fraction in any 20% band = 42.31%
BM-E_neagh,cl,candidate,26,162.27000452643802,145.15649270451965,343.3911147718641,279.91848831652095,121.97330556054975,-0.3421520483171346,-0.45835477215008047,0.038461538461538464,0.0,0.5,0.05263157894736842,9.902765566970684,2.127919459927772,True,True,0.3076923076923077,OK: max fraction in any 20% band = 30.77%
BM-E_neagh,scaling,candidate,26,81.10040886956621,72.31284850746769,158.27969284302975,134.89058039105007,43.022403913377794,-0.3249703268356488,-0.45477860127827174,0.038461538461538464,0.0,0.5,0.05263157894736842,9.133754671247727,0.9724333940993718,True,False,0.7307692307692307,"FAIL: 73.08% of predictions in a band spanning 20% of observed range [37, 207] m. Attractor behaviour detected."
BM-E_north_america,baseline_constant,baseline,15,148.87683884940483,93.42563177468655,93.2243340371947,75.20402048129621,-32.488086260338285,,,0.2,0.0,0.0,0.0,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 518] m. Attractor behaviour detected."
BM-E_north_america,baseline_depth_scaled,baseline,15,144.59766694701952,93.07229069667068,105.01972388718643,78.35419850476829,-26.624291959348866,0.2075810106744865,0.1857142857142857,0.4,0.2,0.0,0.125,1.9343563860196928,0.24409981805845432,False,False,0.9333333333333333,"FAIL: 93.33% of predictions in a band spanning 20% of observed range [38, 518] m. Attractor behaviour detected."
BM-E_north_america,baseline_linear_wind,baseline,15,142.57867222886935,92.41825135548379,106.47545759011399,78.93018967821472,-29.24052642066219,0.28015192510316517,0.18928571428571428,0.3333333333333333,0.0,0.0,0.0,2.2956955672476114,0.2754354854838318,False,False,0.8666666666666667,"FAIL: 86.67% of predictions in a band spanning 20% of observed range [38, 518] m. Attractor behaviour detected."
BM-E_north_america,cl,candidate,15,164.22577459599898,105.41961128134633,95.58175311832822,74.23820293565505,-74.02567523392067,0.10927467512464191,-0.3071428571428571,0.3333333333333333,0.2,0.0,0.125,13.151422670889808,0.28180685171065684,False,False,0.7333333333333333,"FAIL: 73.33% of predictions in a band spanning 20% of observed range [38, 518] m. Attractor behaviour detected."
BM-E_north_america,scaling,candidate,15,175.29236972194565,107.79987715702804,70.98482311448446,60.15778835662856,-99.53664810390806,0.12635905474911513,-0.3071428571428571,0.3333333333333333,0.8,0.0,0.5,12.96243773052064,0.17602184041242416,False,False,0.7333333333333333,"FAIL: 73.33% of predictions in a band spanning 20% of observed range [38, 518] m. Attractor behaviour detected."
BM-E_taihu,baseline_constant,baseline,26,74.34652352101631,51.91769146328358,66.61394997824266,45.79515420091974,-24.50402356105624,,,0.46153846153846156,0.0,0.46153846153846156,0.375,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 370] m. Attractor behaviour detected."
BM-E_taihu,baseline_depth_scaled,baseline,26,64.94375533608148,49.165474940884266,83.47206033996757,53.97229957313804,0.9490810887185225,0.3887384913720367,0.32517565693629474,0.5,0.0,0.6153846153846154,0.5,1.517631069325858,0.26036482380037196,False,False,0.8846153846153846,"FAIL: 88.46% of predictions in a band spanning 20% of observed range [38, 370] m. Attractor behaviour detected."
BM-E_taihu,baseline_linear_wind,baseline,26,65.07174282359706,49.21536949534087,76.64781661203153,51.096939130387064,-6.498406413363501,0.3887384913720368,0.32517565693629474,0.4230769230769231,0.0,0.5384615384615384,0.4375,1.6519393509281162,0.2937884682453741,False,False,0.8461538461538461,"FAIL: 84.62% of predictions in a band spanning 20% of observed range [38, 370] m. Attractor behaviour detected."
BM-E_taihu,cl,candidate,26,129.6965760354696,105.8735869765971,74.84360263127233,71.29256495734928,-105.8735869765971,-0.3477256278784846,-0.3751500210549253,0.11538461538461539,1.0,0.0,0.1875,8.814039812868483,0.09953641044562517,False,True,0.0,OK: max fraction in any 20% band = 0.00%
BM-E_taihu,scaling,candidate,26,135.86081089179567,114.47463269284631,81.92958326229618,80.46208536196893,-114.47463269284631,-0.33963191317986297,-0.3751500210549253,0.0,0.0,0.0,0.0,8.540134072023175,0.06464156582243474,False,True,0.0,OK: max fraction in any 20% band = 0.00%
proxy_high_wind,baseline_constant,baseline,54,82.00887169392544,56.350009196182974,101.10754373538909,80.30634646004007,12.537417318958003,2.1106409368248795e-16,,0.25925925925925924,0.0,0.5,0.17142857142857143,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [37, 518] m. Attractor behaviour detected."
proxy_high_wind,baseline_depth_scaled,baseline,54,76.17283840517801,45.56978534254346,82.45403171155714,57.36641486760716,1.9396734094582129,0.3463718485409174,0.4547967179228819,0.5,0.34782608695652173,0.5,0.4,2.584282179446533,0.27434054801964763,False,False,0.9074074074074074,"FAIL: 90.74% of predictions in a band spanning 20% of observed range [37, 518] m. Attractor behaviour detected."
